,pct_shot_first_time,pct_shot_follows_dribble,pct_shot_open_goal,pct_shot_dominant_foot,pct_shot_header,pct_shot_goal_scored,pct_shot_taken_saved,shots_per_minute,goals_over_expected,pct_shot_from_q1_dist,pct_shot_from_q2_dist,pct_shot_from_q3_dist,pct_shot_from_q4_dist,pct_shots_taken_in_arc,pct_of_goals_from_arc,pct_shots_taken_in_box,pct_of_goals_from_box,avg_progress_to_goal_shooting_on_per_carry,avg_distance_traveled_per_carry,pct_carrying_team_possession,pct_miscontrol,pct_dispossessed,carries,pct_duel_won,duels_per_minute,foul_committed_per_minute,yellow_cards_per_minute,red_cards_per_minute,defensive_pressures_applied_per_minute,defensive_blocks_per_minute,defensive_interceptions_per_minute,MINUTES_ON_PITCH,pass_attempt,pass_success_pct,pass_attempts_per_minute,percent_cross_success,percent_through_ball_success,percent_pass_through_ball,percent_pass_cross,percent_q1_pass_dist,percent_q2_pass_dist,percent_q3_pass_dist,percent_q4_pass_dist,pass_shot_assist_per_minute,cluster
7592,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.010184451737014825,-0.11059290170669556,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,2.709705270990885,5.97548157108758,0.06252048317822176,0.026385224274406333,0.021108179419525065,379.0,0.5882352941176471,0.02175860744912326,0.0,0.002559836170485089,0.0,0.11519262767182901,0.024318443619608346,0.007679508511455268,781.3,537.0,0.24953445065176907,0.6873160117752464,0.20512820512820512,1.0,0.0037243947858473,0.07262569832402235,0.329608938547486,0.24394785847299813,0.1527001862197393,0.2737430167597765,0.017918853193395624,2
7597,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.014395393474088294,-0.698150172829628,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.484223889998926,5.472273810461928,0.04415218517751214,0.006711409395973154,0.006711409395973154,149.0,0.875,0.019908751555371217,0.0,0.0,0.0,0.05972625466611365,0.009954375777685608,0.002488593944421402,401.8333333333333,198.0,0.0707070707070707,0.4927416009954376,0.0,0.0,0.0,0.0,0.10101010101010101,0.20707070707070707,0.3181818181818182,0.37373737373737376,0.002488593944421402,1
7599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009998333611064822,-0.07727126777172089,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.936870829026061,7.903318514679809,0.11754902637393633,0.10714285714285714,0.05357142857142857,56.0,1.0,0.019996667222129644,0.0,0.0,0.0,0.16997167138810199,0.0,0.0,100.01666666666667,53.0,0.20754716981132076,0.5299116813864356,1.0,0.0,0.0,0.05660377358490566,0.05660377358490566,0.1509433962264151,0.07547169811320754,0.7169811320754716,0.019996667222129644,1
7600,0.42857142857142855,0.0,0.0,0.7857142857142857,0.0,0.09523809523809523,0.023809523809523808,0.03560076287349015,0.11521786078810692,0.047619047619047616,0.30952380952380953,0.35714285714285715,0.2857142857142857,0.6904761904761905,0.25,0.30952380952380953,0.75,1.833455443084184,5.004706751513561,0.04329246300934531,0.02346041055718475,0.02785923753665689,682.0,0.7575757575757576,0.021000604562858623,0.001909145869350784,0.0,0.0,0.1724595101980208,0.01590954891125653,0.0012727639129005226,1571.3833333333334,670.0,0.26119402985074625,0.42637591082167514,0.058823529411764705,0.7142857142857143,0.010447761194029851,0.025373134328358207,0.2701492537313433,0.26417910447761195,0.2462686567164179,0.21940298507462686,0.0050910556516020914,0
7601,0.36363636363636365,0.0,0.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,0.03767768453502312,0.5939215635880828,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,1.0,3.633629423401653,6.636849429942179,0.03206261127260881,0.1,0.1125,80.0,0.2,0.01712622024319233,0.0034252440486384657,0.0,0.0,0.2192156191128618,0.0034252440486384657,0.0,291.95,77.0,0.35064935064935066,0.2637437917451618,0.3333333333333333,0.0,0.0,0.03896103896103896,0.16883116883116883,0.2077922077922078,0.2987012987012987,0.3246753246753247,0.013700976194553863,3
7604,0.2,0.0,0.0,0.6,0.2,0.0,0.2,0.05207429265752474,-1.000492848455906,0.2,0.2,0.4,0.2,0.6,0.0,0.4,0.0,2.6321691926018786,6.581103797217508,0.07588533697329146,0.05204460966542751,0.06691449814126393,269.0,0.6206896551724138,0.0622852233676976,0.002147766323024055,0.00429553264604811,0.0,0.27061855670103097,0.03436426116838488,0.015034364261168385,465.59999999999997,222.0,0.2972972972972973,0.47680412371134023,0.16666666666666666,0.0,0.0045045045045045045,0.08108108108108109,0.0945945945945946,0.13513513513513514,0.15765765765765766,0.6126126126126126,0.0064432989690721655,2
7605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010293360782295419,-0.01964765414595604,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.491079157282452,7.162457943180292,0.04666348031392427,0.1,0.08,100.0,1.0,0.01364178934803615,0.0,0.0,0.0,0.3001193656567953,0.01364178934803615,0.0034104473370090375,293.2166666666667,79.0,0.26582278481012656,0.26942533962371396,0.3333333333333333,0.0,0.0,0.0759493670886076,0.12658227848101267,0.25316455696202533,0.34177215189873417,0.27848101265822783,0.01364178934803615,2
7606,0.24615384615384617,0.0,0.0,0.5384615384615384,0.18461538461538463,0.13846153846153847,0.0,0.03792151219322469,-1.8306689271703362,0.47692307692307695,0.2923076923076923,0.16923076923076924,0.06153846153846154,0.2,0.0,0.8,1.0,1.1539457312661274,5.63088631833853,0.02347925662951225,0.0823045267489712,0.07407407407407407,486.0,0.8571428571428571,0.003855722534862158,0.0016524525149409248,0.0,0.0,0.1002487859064161,0.006609810059763699,0.0022032700199212333,1815.4833333333333,420.0,0.3357142857142857,0.23134335209172946,0.26666666666666666,0.5,0.004761904761904762,0.03571428571428571,0.27380952380952384,0.25,0.20714285714285716,0.26904761904761904,0.007160627564744008,3
7607,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01060632844263744,-0.08172628283500671,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8802958551333371,5.269722579677689,0.03013020121912253,0.010526315789473684,0.0,95.0,0.8888888888888888,0.01917137075300884,0.0,0.006390456917669613,0.0,0.08946639684737459,0.004260304611779743,0.0,469.45000000000005,124.0,0.24193548387096775,0.264138885930344,0.0,0.0,0.0,0.008064516129032258,0.18548387096774194,0.18548387096774194,0.24193548387096775,0.3870967741935484,0.004260304611779742,1
7609,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.010186757215619695,-0.061082612723112106,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,2.664331355094316,6.290436398445231,0.03159681643606334,0.017857142857142856,0.026785714285714284,224.0,0.4,0.025595085743537242,0.0017063390495691494,0.0,0.0,0.12115007251940961,0.018769729545260645,0.005119017148707448,586.05,359.0,0.3064066852367688,0.6125757187953247,0.5555555555555556,0.0,0.0,0.05013927576601671,0.15598885793871867,0.22284122562674094,0.2924791086350975,0.3286908077994429,0.022182407644398945,2
7610,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020931449502878074,-0.4723091423511505,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,2.242181630583193,5.877821772785983,0.04599288883424564,0.1774193548387097,0.11290322580645161,62.0,1.0,0.005183585313174946,0.0,0.0,0.0,0.07775377969762419,0.0,0.0,192.91666666666666,61.0,0.3442622950819672,0.31619870410367173,0.5,0.0,0.0,0.03278688524590164,0.26229508196721313,0.32786885245901637,0.11475409836065574,0.29508196721311475,0.010367170626349892,2
7612,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.010325245224574084,-0.10463617369532585,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.4186756132306428,5.245011121858631,0.04198590887472264,0.021739130434782608,0.008695652173913044,230.0,0.75,0.0129366106080207,0.0,0.0,0.0,0.11966364812419146,0.014553686934023287,0.004851228978007762,618.4,318.0,0.2578616352201258,0.5142302716688227,0.4,0.5,0.006289308176100629,0.04716981132075472,0.2389937106918239,0.18238993710691823,0.16352201257861634,0.41509433962264153,0.01778783958602846,1
7614,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.014496255134090362,0.7601872319355607,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,2.605990241800644,6.620162572391528,0.04800262695277552,0.046875,0.015625,128.0,0.5625,0.03141052907109904,0.00392631613388738,0.0,0.0,0.12956843241828356,0.01177894840166214,0.00588947420083107,509.38333333333327,168.0,0.2976190476190476,0.32981055524653996,0.23529411764705882,0.0,0.0,0.10119047619047619,0.19047619047619047,0.2261904761904762,0.23809523809523808,0.34523809523809523,0.009815790334718452,0
7616,0.75,0.0,0.0,0.75,0.25,0.25,0.25,0.021257750221434897,0.7068872563540936,0.25,0.5,0.25,0.0,0.25,0.0,0.75,1.0,2.3879656493650505,5.870296038498413,0.03342053190403032,0.042316258351893093,0.026726057906458798,449.0,0.5740740740740741,0.03377709204257581,0.0018765051134764343,0.004378511931445013,0.0,0.14449089373768542,0.02251806136171721,0.004378511931445013,1598.7166666666667,624.0,0.20993589743589744,0.3903130636030983,0.25,0.0,0.0016025641025641025,0.02564102564102564,0.3189102564102564,0.23237179487179488,0.23397435897435898,0.21474358974358973,0.0062550170449214475,3
7619,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.02050931464706888,-0.08137921430170536,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.686888862061677,4.498958984082473,0.02663302763559203,0.015384615384615385,0.06153846153846154,130.0,0.5714285714285714,0.018207040055488122,0.0026010057222125888,0.0,0.0,0.1430553147216924,0.03381307438876365,0.0026010057222125888,384.4666666666667,158.0,0.17088607594936708,0.410958904109589,0.3333333333333333,0.0,0.0,0.0189873417721519,0.2468354430379747,0.27848101265822783,0.17088607594936708,0.3037974683544304,0.0026010057222125888,1
7624,0.3333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.01585833223206026,-0.5827582739293575,0.16666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.6959930167414679,5.696039842716668,0.04221109286114792,0.01206896551724138,0.020689655172413793,580.0,0.6944444444444444,0.029249664847590288,0.0,0.0016249813804216826,0.0,0.1925602935799694,0.009749888282530096,0.004874944141265048,1230.7833333333333,698.0,0.09455587392550144,0.5671185017671673,0.2,0.0,0.0014326647564469914,0.0071633237822349575,0.2335243553008596,0.24355300859598855,0.27507163323782235,0.24785100286532952,0.003249962760843365,1
7626,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.020826102047900034,1.3213357031345367,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.9284235628599617,6.1036110304964994,0.026720623216031764,0.23529411764705882,0.17647058823529413,17.0,1.0,0.020826102047900034,0.0,0.0,0.0,0.17702186740715029,0.010413051023950017,0.0,96.03333333333333,31.0,0.3870967741935484,0.3228045817424505,0.0,0.0,0.0,0.0,0.3548387096774194,0.0967741935483871,0.1935483870967742,0.3548387096774194,0.010413051023950017,3
7631,0.21052631578947367,0.0,0.0,0.3157894736842105,0.5263157894736842,0.15789473684210525,0.0,0.014346841177951172,1.4479270782321692,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.0,0.15789473684210525,0.0,0.8421052631578947,1.0,1.777792319924883,4.682931264064013,0.037756680990270415,0.014018691588785047,0.008566978193146417,1284.0,0.6363636363636364,0.017230913825850288,0.0,0.0007832233557204676,0.0,0.08654618080711168,0.010965126980086547,0.0015664467114409352,2553.5499999999993,1694.0,0.13872491145218419,0.6633901822952363,0.3090909090909091,0.25,0.0023612750885478157,0.032467532467532464,0.23730814639905548,0.27036599763872493,0.2727272727272727,0.21959858323494688,0.005090951812183041,3
7632,0.2727272727272727,0.0,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0,0.02894736842105263,0.8878824720159173,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.0,0.45454545454545453,1.0,1.7688402859739445,4.861718387393695,0.032996121172372,0.04824561403508772,0.019736842105263157,456.0,0.4444444444444444,0.017159471869588015,0.0,0.0009533039927548897,0.0,0.14299559891323343,0.020972687840607573,0.0009533039927548897,1048.9833333333336,493.0,0.20486815415821502,0.4699788684281605,0.11764705882352941,0.0,0.0,0.034482758620689655,0.3448275862068966,0.2738336713995943,0.1724137931034483,0.20892494929006086,0.010486343920303783,0
7635,0.3333333333333333,0.0,0.0,0.5,0.25,0.08333333333333333,0.08333333333333333,0.01268878980667219,-0.12417339906096458,0.25,0.5,0.16666666666666666,0.08333333333333333,0.25,0.0,0.75,1.0,1.712512481500853,4.614895652836412,0.03530738170019725,0.03787878787878788,0.03409090909090909,1056.0,0.7346938775510204,0.021644384239354497,0.0013251663820012956,0.0026503327640025913,0.0,0.13163319394546202,0.01943577360268567,0.002208610636668826,2263.8666666666663,1478.0,0.18470906630581868,0.6528653041993051,0.2909090909090909,0.0,0.0,0.03721244925575101,0.3308525033829499,0.2922868741542625,0.2219215155615697,0.15493910690121787,0.008834442546675305,3
7636,0.2553191489361702,0.0,0.0,0.574468085106383,0.10638297872340426,0.0425531914893617,0.0,0.031093224543800646,-1.95978965703398,0.23404255319148937,0.14893617021276595,0.2978723404255319,0.3191489361702128,0.46808510638297873,0.0,0.3617021276595745,1.0,3.2924375380442146,7.952897363525791,0.04878398019544747,0.07765830346475508,0.07885304659498207,837.0,0.5625,0.025367073890410718,0.0015854421181506699,0.002113922824200893,0.0,0.15061700122431362,0.011098094827054688,0.004227845648401786,1892.2166666666667,776.0,0.3440721649484536,0.41010102789497327,0.25,0.25,0.005154639175257732,0.12886597938144329,0.22036082474226804,0.17654639175257733,0.16623711340206185,0.4368556701030928,0.013212017651255582,0
7637,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.010265183917878527,-0.02266557514667511,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.130591610364754,6.559619298524232,0.019512417849775872,0.08823529411764706,0.11764705882352941,34.0,0.0,0.0,0.0,0.010327022375215145,0.0,0.07228915662650602,0.0,0.0,193.66666666666669,25.0,0.28,0.1290877796901893,0.6666666666666666,0.0,0.0,0.12,0.52,0.12,0.2,0.16,0.005163511187607573,2
7638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010799136069114472,-0.029745591804385185,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2278065702708976,4.144757054647265,0.029687018776545462,0.007802340702210663,0.006501950585175552,769.0,0.5,0.015689350853108453,0.0,0.001681001877118763,0.0,0.07956742218362145,0.022973692320623094,0.008405009385593815,1784.6499999999996,1119.0,0.12153708668453976,0.6270137001652987,0.2962962962962963,0.0,0.0,0.024128686327077747,0.24664879356568364,0.29222520107238603,0.2546916890080429,0.2064343163538874,0.0028016697951979384,2
7639,0.36363636363636365,0.0,0.0,0.3181818181818182,0.3181818181818182,0.13636363636363635,0.0,0.11245527347077867,0.11303766816854477,0.4090909090909091,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.0,0.5,1.0,2.2767029236715493,6.539549889840248,0.029207792233663838,0.12962962962962962,0.14814814814814814,54.0,0.6666666666666666,0.015334810018742547,0.0,0.0,0.0,0.270914976997785,0.030669620037485093,0.010223206679161698,195.63333333333333,54.0,0.35185185185185186,0.2760265803373658,0.0,0.0,0.0,0.05555555555555555,0.12962962962962962,0.037037037037037035,0.1111111111111111,0.7222222222222222,0.020446413358323395,3
7645,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.015652854471933562,-0.24456635816022754,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,1.0,2.174338943370898,5.404806406246793,0.038548936053021586,0.007476635514018692,0.009345794392523364,535.0,0.65625,0.01763652229825931,0.0005511413218206035,0.001102282643641207,0.0,0.10196114453681164,0.021494511551003535,0.001102282643641207,1814.4166666666665,627.0,0.22647527910685805,0.34556560878151843,0.0,0.0,0.0,0.0,0.14035087719298245,0.22807017543859648,0.24720893141945774,0.3843700159489633,0.0011022826436412072,3
7646,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.018264840182648404,-0.07650140766054392,0.0,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,1.8291483665587274,4.625318834554709,0.043250768969054235,0.020348837209302327,0.024709302325581394,688.0,0.64,0.018622205117381965,0.0007448882046952786,0.0,0.0,0.08119281431178538,0.01117332307042918,0.0007448882046952786,1342.4833333333333,890.0,0.16404494382022472,0.662950502178798,0.1388888888888889,0.5,0.0022471910112359553,0.04044943820224719,0.2696629213483146,0.2573033707865168,0.2292134831460674,0.24382022471910111,0.004469329228171672,2
7647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010738255033557046,-0.13092399388551712,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0712378204041397,5.2856948607242025,0.04457512542638613,0.011320754716981131,0.011320754716981131,265.0,0.42857142857142855,0.021310061393272108,0.0,0.0015221472423765793,0.0,0.10502815972398397,0.022832208635648686,0.009132883454259475,656.9666666666667,335.0,0.12238805970149254,0.509919326196154,0.0,0.0,0.0,0.0,0.191044776119403,0.1880597014925373,0.2716417910447761,0.3492537313432836,0.0,1
7649,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.018714909544603867,0.2532283551990986,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.26591696184742203,4.260607073994603,0.02914077051806427,0.10526315789473684,0.03508771929824561,57.0,0.45454545454545453,0.03589883056839815,0.0,0.0,0.0,0.2806635844438401,0.016317650258362796,0.0,306.4166666666667,60.0,0.31666666666666665,0.19581180310035354,1.0,0.0,0.0,0.016666666666666666,0.4166666666666667,0.2833333333333333,0.08333333333333333,0.21666666666666667,0.0,0
7650,0.2077922077922078,0.0,0.032467532467532464,0.7727272727272727,0.09090909090909091,0.08441558441558442,0.012987012987012988,0.037112159855407174,-0.007658242015168071,0.11038961038961038,0.19480519480519481,0.2012987012987013,0.4935064935064935,0.6168831168831169,0.38461538461538464,0.3116883116883117,0.6153846153846154,2.8080326100901107,6.246032142845803,0.059617842172236174,0.05295238095238095,0.046476190476190476,2625.0,0.6060606060606061,0.023312767861347904,0.001412895021899873,0.0018838600291998307,0.0,0.17967315028493386,0.013893467715348752,0.004945132576649556,4246.599999999999,2459.0,0.16185441236274908,0.579051476475298,0.2033898305084746,0.5454545454545454,0.008946726311508743,0.023993493289955266,0.23912159414396095,0.25742171614477427,0.23586823912159413,0.2675884505896706,0.014599915226298688,0
7651,0.11428571428571428,0.0,0.02857142857142857,0.9142857142857143,0.0,0.05714285714285714,0.0,0.026081772566943214,-0.7125296797603369,0.11428571428571428,0.2857142857142857,0.2571428571428571,0.34285714285714286,0.45714285714285713,0.0,0.5428571428571428,1.0,2.1472534091394464,5.981024153732131,0.04406513434502735,0.09506398537477148,0.09323583180987204,547.0,0.7037037037037037,0.03318006328789849,0.0012288912328851293,0.0024577824657702587,0.0,0.26052494137164744,0.01966225972616207,0.0030722280822128236,1627.4833333333331,356.0,0.43258426966292135,0.21874263945355307,0.4090909090909091,0.3333333333333333,0.008426966292134831,0.06179775280898876,0.23314606741573032,0.19382022471910113,0.21348314606741572,0.3595505617977528,0.008602238630195908,0
